title,company,location,salary,rating,description,url
Junior Software Engineer,Synpulse,Singapore,$4K (Employer provided),4.0,"Are you excited about transforming the way we bank by using the latest technology? We are too! Your Growth Unleashed Where your journey begins and your potential shines At Synpulse, we don't just consult – we transform. As a leading global management and technology consultancy with Swiss roots, we empower financial institutions to navigate change and seize new opportunities. Since 1996, we've been shaping the future of financial services by delivering cutting-edge expertise in strategy, operations, and technology to banks and insurers worldwide. What sets us apart is our people. At Synpulse, we cultivate a collaborative, high-impact culture where initiative and creativity are valued. With 21 offices across Europe, the Americas, and Asia-Pacific, we bring together diverse perspectives and talents. We believe innovation thrives where everyone feels they belong and can contribute. Our core values – Embrace, Drive, Achieve – shape how we work and evolve. We don't just offer jobs – we offer the chance to develop, make an impact, and be part of a team that's redefining the future of financial services. Are you excited about transforming the way we bank by using the latest technology? We are too! About the job: Software development, solution design, and testing of internet banking and mobile banking systems Implementation of new and maintenance of existing functionality Integration with other third-party application and core banking systems Development based on guidelines and standards Close collaboration with stakeholders to ensure fit-for-purpose end-to-end functionality Work closely with team members and provide active contribution to build up the new team Participate in end-to-end project lifecycle Travel might be required for education purposes or specific project activities About you: Degree holder in Computer Science or Computer Engineering Open for fresh graduates At least 1 year of Avaloq working experience is an advantage Advanced knowledge of at least one higher programming language and object-oriented concepts Advanced knowledge of relational database systems (Oracle, PL/SQL) Experience with web-oriented technologies is an advantage (JavaScript, HTML, XML, CSS) Experience with Angular JS is an advantage Analytical, structured, and efficient way of working Interested in banking and financial industry Can fluently speak and write in English Entrepreneurial spirit Our people are our most valuable asset. They drive our growth and anchor our success. They are experts, thought leaders, and trusted partners of our global clients. The Synpulse OneSpirit is reflected in our people and unrivaled culture of collaboration, inclusion, entrepreneurship, and fun. We are good corporate citizen in our communities, and we celebrate success together with our Synpulse crypto token. Why us: Want to transform what banking means with you! Are inclusive and diverse Will guide you Are committed to creating a flexible, supportive work environment that helps you effectively manage your work and family commitments Embrace innovate-thinking and entrepreneurship in everything we do Are award winning and known for our commitment to outcomes Apply the latest tech and new ways of working Support your personal growth Your documents to start the process: Your link to your git/code repo A short summary of you Resume or CV We look forward to hearing from you soon. Should you have any queries, feel free to contact our local HR representative.","https://www.glassdoor.sg/job-listing/junior-software-engineer-synpulse-JV_IC3235921_KO0,24_KE25,33.htm?jl=1010002665861&cs=1_946b379d&s=58&t=SR&pos=103&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1010002665861&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-d803d60ff10e230a&cb=1769067505220&ctt=1769067521945"
AI Engineer Intern,CPO Pte Ltd,Singapore,$1K - $2K (Employer provided),2.0,"Company CPO Pte Ltd dndts.com Designation AI Engineer Intern Date Listed 19 Dec 2025 Job Type Entry Level / Junior Executive, Experienced / Senior Executive Intern/TS Job Period Immediate Start, For At Least 6 Months Profession Engineering Industry Logistics Location Name 115 Airport Cargo Road, Singapore Address 115 Airport Cargo Rd, Singapore 819466 Map Allowance / Remuneration $1,250 - 1,700 monthly Company Profile At CPO PTE. LTD., we believe that data is the foundation of intelligent business decisions. Our mission is to help organizations unlock the full potential of their data through advanced analytics, transforming raw information into strategic insights that drive growth and innovation. Founded in Singapore, we've grown to become a trusted partner for businesses across various industries, providing tailored data solutions that address specific challenges and opportunities. Our team of data scientists, analysts, and industry experts combines technical expertise with business acumen to deliver results that matter. We're committed to staying at the forefront of analytics technology, constantly evolving our approaches to provide the most effective solutions. Beyond our technical capabilities, we pride ourselves on building lasting relationships with our clients, understanding their unique needs, and growing alongside them as trusted advisors in their data journey. Job Description AI Engineer Intern Location: Singapore • Type: Full-time, On-site About the Role We're looking for an AI Engineer Intern to help identify, prototype, and deploy AI-driven solutions across the company. You'll work with teams such as e-commerce, operations, and analytics to discover where machine learning, LLMs, and automation can meaningfully improve workflows and decision-making. This role focuses on applied AI, not traditional web or QA engineering. ResponsibilitiesIdentify business problems that can be improved with AI or machine learningPrototype and build AI-powered tools (e.g. LLM-based assistants, classifiers, recommendation systems, workflow automations)Develop and evaluate machine learning models or AI pipelines using real company dataIntegrate AI solutions into existing systems via APIs or internal toolsExperiment with prompt engineering, model evaluation, and performance tuningAnalyze model outputs and iterate based on accuracy, reliability, and business impactDocument findings, experiments, and trade-offs clearly for non-technical stakeholdersCollaborate with engineers and domain teams to productionize successful prototypes Requirements Technical SkillsCurrently pursuing a degree in Computer Science, Data Science, AI, or a related fieldStrong programming fundamentals in PythonFamiliarity with machine learning concepts (e.g. classification, regression, embeddings, evaluation metrics)Experience with or exposure to:ML / AI libraries (PyTorch, TensorFlow, scikit-learn, or similar)LLM APIs or frameworks (OpenAI, Anthropic, LangChain, LlamaIndex, etc.)Basic understanding of data handling (SQL, pandas, or similar)Ability to work with APIs and JSON-based servicesFamiliarity with Git and basic software engineering practices Nice to Have (Not Required)Experience building AI agents, chatbots, or internal AI toolsExposure to vector databases (FAISS, Pinecone, Weaviate, etc.)Experience deploying models or services (Docker, simple cloud setups)Experience with prompt evaluation, hallucination mitigation, or model benchmarking Soft SkillsStrong problem-solving mindset with curiosity about how AI applies to real business workflowsComfortable working with ambiguity and iterating through experimentsAble to explain technical concepts and results clearly to non-AI stakeholdersSelf-directed learner who can explore unfamiliar tools and models independentlyThoughtful about limitations, risks, and failure modes of AI systems Application Instructions TO APPLY, PLEASE EMAIL YOUR RESUME TO","https://www.glassdoor.sg/job-listing/ai-engineer-intern-cpo-pte-JV_IC3235921_KO0,18_KE19,26.htm?jl=1009511219734&cs=1_f808d42d&s=58&t=SR&pos=212&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1009511219734&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-1fc638e594bf5bea&cb=1769067468324&ctt=1769067497789"
SAP intern - AI Engineer,SAP,Queenstown Estate,$179K - $216K (Glassdoor Est.),4.2,"We help the world run better At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging – but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and succeed. ABOUT THE ROLE As an AI Engineer(intern) on the team, you will work with SAP product and solution units to bring SAP products to the next level by incorporating Artificial Intelligence into its existing portfolio. This will be done using machine learning engineering and tools available as a part of the SAP product portfolio. You will use SAP AI Software As A Services (SAAS) to build, deploy models into scalable production APIs on SAP's Business Technology platform, which are seamlessly embedded into Business Processes WHAT YOU'LL DO: Position title: AI Engineer internLocation: SingaporeExpected start date and duration: May 2026 to Nov/Dec 2026Working Hours: Full time, 5 days/week EXPECTATIONS AND TASKSValidate AI use cases through proof-of-concepts with Large Language Models in tantum with SAP Business AIWork with SAP Business Technology Platform for building backend services using SAP Cloud Application Programming (CAP) or Python-flask.Assist with technology exploration for new AI and technology trends in-line with SAP's overall Strategy directionLearn and apply Software Development Life Cycle methodologies like Agile. Participate in development life cycle activities like design, coding, testing and production releasePart of global team and IT delivery Unit EDUCATION AND QUALIFICATIONS / SKILLS AND COMPETENCIES Required:Bachelor's in Computer Science or a related fieldPassionate about coding and programming, innovation, and solving challenging problemsMust have good hands-on on Python, Java or JavaScript, React.jsProficient in understanding and staying current with Generative AI industry trendsHands-on on knowledge and good exposure to Prompt Engineering, Data Pipelines and coding standards for LLM App developmentExposure to efficient and scalable LLM App development is a plusGood written and oral communication skills in EnglishAble to solve/explore problems independently, good teamwork and communication skills Optional:Familiarity with agile development approach and tools #SAPNextGen Bring out your best SAP innovations help more than four hundred thousand customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with two hundred million users and more than one hundred thousand employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, you can bring out your best. We win with inclusion SAP's culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better world. SAP is committed to the values of Equal Employment Opportunity and provides accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team: Careers@sap.com. For SAP employees: Only permanent roles are eligible for the SAP Employee Referral Program, according to the eligibility rules set in the SAP Referral Policy. Specific conditions may apply for roles in Vocational Training. Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability, in compliance with applicable federal, state, and local legal requirements. Successful candidates might be required to undergo a background verification with an external vendor. AI Usage in the Recruitment Process For information on the responsible use of AI in our recruitment process, please refer to our Guidelines for Ethical Usage of AI in the Recruiting Process. Please note that any violation of these guidelines may result in disqualification from the hiring process. Requisition ID: 442375 | Work Area: Administration | Expected Travel: 0 - 10% | Career Status: Student | Employment Type: Limited Full Time | Additional Locations: #LI-Hybrid","https://www.glassdoor.sg/job-listing/sap-intern-ai-engineer-sap-JV_IC3235177_KO0,22_KE23,26.htm?jl=1009996404196&cs=1_c439e295&s=58&t=SR&pos=211&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1009996404196&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-9cd6ffe83f33eef8&cb=1769067468324&ctt=1769067494067"
AI Engineering Undergraduate Intern,Dell,Singapore,$4K (Employer provided),3.8,"At Dell Technologies, we are always looking for the next generation of innovative thinkers to drive our business forward. As an intern, you will have the opportunity to work on meaningful projects, partner with professionals across the globe while gaining knowledge about our business. At Dell, you are encouraged to be yourself, you will find a culture where differences are celebrated, and diverse ideas are heard and respected. Our mission is to enable the future generation of professionals to create strong networks, achieve critical experiences, and develop core skills that position you for career success. Join us to do the best work of your career and make a profound social impact as a Undergraduate Intern on our Global CTO Team in Singapore. What you'll achieve As an Intern Undergraduate, you will gain hands‑on experience with agentic AI and on‑device intelligence on production‑class client platforms. Mentorship from a global CTO engineering team and exposure to customer‑facing POCs in APJ. You will: Build AI assistants that run primarily on device (CPU/GPU/NPU) to improve everyday computer user productivity—design intents include privacy, latency, and power efficiency. Implement agentic workflows (tools, memory, planning) and integrate model APIs to enable autonomous, context‑aware assistance within desktop apps. Develop desktop client features in WPF (.NET) or Electron (JavaScript/TypeScript); contribute UI/UX and instrumentation for real‑world usage. Build or extend backend services that orchestrate models, manage data flows, and support hybrid client–edge–cloud patterns. Evaluate models and experiences; run experiments; profile performance and perf/W; document findings and recommendations. Collaborate with senior engineers and researchers across the global CTO team to deliver proofs‑of‑concept and lighthouse use cases on AI PCs Take the first step towards your dream career Every Dell Technologies team member brings something unique to the table. Here's what we are looking for with this role: Essential Requirements Students (Bachelor's) in Computer Science, Software Engineering, Electrical/Computer Engineering, Data Science, or related fields who are excited to build practical AI assistants and ship usable software. Experience in WPF application development or Electron app development. Some experience in backend development (e.g., building APIs, services, or microservices). Desirable Requirements Exposure to AI models and agentic model integrations at the API level (e.g., inference APIs, tool‑calling, prompt orchestration). Familiarity with on‑device AI concepts for AI PCs and hybrid client–edge–cloud pipelines (latency, privacy, perf, NPU/GPU acceleration). Working knowledge of C#/.NET (for WPF) or JavaScript/TypeScript (for Electron); Python for prototyping. Comfort with experiment design, telemetry, and performance profiling. Who we are We believe that each of us has the power to make an impact. That's why we put our team members at the center of everything we do. If you're looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we're looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us. Application closing date: 31 March 2026 Dell Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. Job ID:R273262","https://www.glassdoor.sg/job-listing/ai-engineering-undergraduate-intern-dell-JV_IC3235921_KO0,35_KE36,40.htm?jl=1009998854601&cs=1_17480c70&s=58&t=SR&pos=201&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1009998854601&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-0613bfb8b7855955&cb=1769067468322&ctt=1769067473084"
Software Engineering Internship (Summer 2026),BlockTech,Singapore,$200K - $700K (Employer provided),4.0,"Internship period: 11 May – 31 July 2026 Location: Singapore (CBD) Who are we? BlockTech is a fast-paced algorithmic trading firm facilitating global cryptocurrency trading while expanding into regulated markets. As we continue to grow rapidly, we are offering a Software Engineering Internship in Singapore. What will you do? As a Software Engineering Intern at BlockTech, you'll help build and optimise some of ourlow latency systems that power our global trading operation. You'll work closely with experienced engineers, traders, and quants, contributing to real production components where performance matters and your work has measurable impact. This internship is ideal for highly motivated students who want hands-on exposure to high-performance engineering in a fast-paced, algorithmic trading environment. You will: Design and build low latency components optimised for speed, scalability, and robustness Optimise and scale existing trading infrastructure for maximum performance and reliability Own your work from development through to deployment Collaborate with traders, quants, and engineers to deliver state-of-the-art trading technology Experiment, iterate and innovate by testing ideas and shipping code What is in it for you? A hands-on engineering internship at a leading algorithmic trading firm Direct mentorship from experienced software engineers and collaboration with quantitative traders and researchers Real-world experience working on production-level trading infrastructure A meaningful technical project with tangible impact A modern, relaxed office in the heart of Singapore's financial district (CBD) Daily breakfast, warm lunch, snacks, and drinks Social activities with the team A stepping stone towards a full-time Software Engineer role at BlockTech Competitive compensation Our culture At BlockTech, we are a team of passionate trading and tech enthusiasts driven by curiosity, ownership, and continuous improvement. Interns are treated as permanent contributors: your ideas matter, your work has impact, and your learning is taken seriously. You will be challenged, supported, and encouraged to push beyond theory into practical, high-performance software engineering. You're currently studying (or recently graduated in) CS, Engineering, Math, or a similar field You have strong fundamentals in programming, algorithms, and systems thinking You're excited about building fast, low-latency systems You're comfortable working in Linux environments You can own tasks end-to-end, but love collaborating with a team You're hands-on, curious, and learn quickly You communicate clearly in English (spoken + written) Bonus points if you have experience with: Rust or (C/C++) Performance profiling and benchmarking Concurrency and multithreading Short paragraph: As a Software Engineering Intern you'll work on real, high-performance systems. You'll design and optimise low-latency components and ship code that directly impacts trading performance. Collaborate closely with engineers, quants, and traders while owning tasks end-to-end. Location: Singapore Department: Trading","https://www.glassdoor.sg/job-listing/software-engineering-internship-summer-2026-blocktech-JV_IC3235921_KO0,43_KE44,53.htm?jl=1010005821212&cs=1_11d85a84&s=58&t=SR&pos=202&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1010005821212&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-66ce6b810cf11658&cb=1769067468323&ctt=1769067475401"
"Data Science Intern, Media Equipment Engineering",Seagate Technology,Singapore,$139K - $150K (Glassdoor Est.),3.7,"About our group: The Recording Media Operation Media Equipment Engineering team are a team of professional Engineers working on developing various customized media processing equipment used in high volume media manufacturing. Our mission is to works on equipment enhancements to meet new processes needs, continuous improvements to improve product quality, yield and develop new technologies. We have embraced I4.0 technology and the team is continuously working on problem solving on manufacturing equipment and process About the role - you will: As an intern, you will actively contribute to key projects focused on data science and analytics. Your work will involve enhancing media processing tools by leveraging I4.0 technologies. Work on projects related to Data Science / Data Analytics Work on data logging, extraction, and setup, applying analytics to drive data-driven decision-making. Develop interactive dashboards using tools and platforms such as Python and MySQL. Develop AI Models and Deploy Use Python libraries (Numpy, Pandas, Matplotlib) for data aggregation, analysis, and visualization. Support in installing and configuring smart sensors to optimize media processing systems About you: We are looking for a motivated individual with: A strong interest in data science and the ability to derive insights from complex datasets. Familiarity with sensors and basic understanding of their role in manufacturing processes. Able to commit full internship (May/Aug to Dec) Your experience includes: Currently pursuing a Bachelor Degree in Data Science / Engineering, Computer Science or a related field. Experience developing data-driven projects using Python. Proficiency in Python programming, particularly with libraries such as Numpy, Pandas, Matplot, pyHive & Scipy library. Experience in doing software integration and Deployment. Knowledge of R programming & computer hardware is a plus. Location: The Recording Media Operation Media Equipment Engineering team are a team of professional Engineers working on developing various customized media processing equipment used in high volume media manufacturing. Our mission is to works on equipment enhancements to meet new processes needs, continuous improvements to improve product quality, yield and develop new technologies. We have embraced I4.0 technology and the team is continuously working on problem solving on manufacturing equipment and process Location: Woodlands, Singapore, W2 Travel: None","https://www.glassdoor.sg/job-listing/data-science-intern-media-equipment-engineering-seagate-technology-JV_IC3235921_KO0,47_KE48,66.htm?jl=1010005242428&cs=1_9c4bf4ff&s=58&t=SR&pos=203&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1010005242428&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-395c0af7615dddc3&cb=1769067468323&ctt=1769067478308"
Software Engineer Intern,Thales,Changi Village,$200K - $700K (Employer provided),4.0,"Location: Singapore, Singapore Thales is a global technology leader trusted by governments, institutions, and enterprises to tackle their most demanding challenges. From quantum applications and artificial intelligence to cybersecurity and 6G innovation, our solutions empower critical decisions rooted in human intelligence. Operating at the forefront of aerospace and space, cybersecurity and digital identity, we're driven by a mission to build a future we can all trust. In Singapore, Thales has been a trusted partner since 1973, originally focused on aerospace activities in the Asia-Pacific region. With 2,000 employees across three local sites, we deliver cutting-edge solutions across aerospace (including air traffic management), defence and security, and digital identity and cybersecurity sectors. Together, we're shaping the future by enabling customers to make pivotal decisions that safeguard communities and power progress. Thales Singapore Engineering Competence Centre (ECC) is a well-established R&D and engineering centre serving major customers worldwide in Digital Identity and Security domains ranging from mobile connectivity, IoT, banking & payment to government solutions. As part of ECC, Product Engineering team is responsible for defining and improving industrialization process for new products and ensuring the delivery of deployable solutions for mass production. Responsibilities: Refine requirements and follow coding practices to implement features Present and demonstrate the implemented features/improvements Improve Product delivery efficiency through Validation Automation, Monitoring and Continuous Delivery Contribute to security of our development through secure coding monitoring and addressing vulnerabilities reported Technologies: Language: Java/C#, React (Typescript) Techno: .NET 8 or later, RobotFramework, MaterialUI Tools: GitLab CICD, Figma, Docker Requirements: Skilled in object-oriented programming either Java or C# Knowledge in application development and testing Proactive, adaptable and curious to learn Strong communication and teamwork skills Candidates able to commit Full time for 6 months will be the priority At the end of your internship, you will have exposure to the full flow of software delivery including requirement refinement, validation testing, continuous automation delivery and security scan tools. At Thales, we're committed to fostering a workplace where respect, trust, collaboration, and passion drive everything we do. Here, you'll feel empowered to bring your best self, thrive in a supportive culture, and love the work you do. Join us, and be part of a team reimagining technology to create solutions that truly make a difference – for a safer, greener, and more inclusive world.","https://www.glassdoor.sg/job-listing/software-engineer-intern-thales-JV_IC3235384_KO0,24_KE25,31.htm?jl=1009917385489&cs=1_f675d4dc&s=58&t=SR&pos=204&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1009917385489&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-345b2af2ce877da8&cb=1769067468323&ctt=1769067483307"
Summer Internship 2026 - AI and Gen AI Specialist,Income Insurance Limited,Singapore,$179K - $216K (Glassdoor Est.),3.5,"We're seeking a talented and enthusiastic AI and GenAI Specialist Intern to join our innovative team at Income Insurance. This internship offers a unique opportunity to work on cutting-edge AI and Generative AI projects in the insurance industry. Key Responsibilities Assist in developing and implementing AI and GenAI solutions for various insurance processes Collaborate with data scientists and software engineers on machine learning models Contribute to the research and application of latest GenAI technologies Help in data preparation, model training, and evaluation Participate in brainstorming sessions for AI-driven product innovations Support the team in documenting AI/GenAI processes and findings Requirements Currently pursuing a Bachelor or Master degree in computer science, AI, Data Science, or related field Strong foundation in machine learning, deep learning, and AI algorithms Familiarity with GenAI concepts and technologies (e.g., GPT, DALL-E, Stable Diffusion) Proficiency in Python and experience with AI/ML libraries (e.g., TensorFlow, PyTorch) Excellent problem-solving skills and attention to detail Good communication skills and ability to work in a team","https://www.glassdoor.sg/job-listing/summer-internship-2026-ai-and-gen-ai-specialist-income-insurance-JV_IC3235921_KO0,47_KE48,64.htm?jl=1009983447929&cs=1_ab70f60a&s=58&t=SR&pos=208&src=GD_JOB_AD&guid=0000019be4a354b38ffab0150b2c6a05&jobListingId=1009983447929&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia6l85gp90800-ddd1b0e422bfdd61&cb=1769067468323&ctt=1769067489716"
"Software Engineer Intern, AI/LLM Initiative",WorldQuant,Singapore,$200K - $700K (Employer provided),4.2,"WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. Project Overview Join our AI/LLM initiative, a pioneering project focused on integrating Large Language Models (LLMs) with WorldQuant's strategy management tools. As an intern, you will contribute to building a platform that offers AI-assisted insights and automates tasks for Portfolio Managers. This is an opportunity to work on foundational infrastructure, data pipelines, and user-facing AI applications. The Role: We are looking for an enthusiastic Intern Software Engineer to support the AI/LLM initiative team. You will assist in various aspects of the software development lifecycle, including development, testing, documentation, and data analysis. A key aspect of this role will involve supporting the deployment of new tools and providing assistance to end-users, particularly Portfolio Managers, during the installation and initial usage phases. This role offers a unique opportunity to gain hands-on experience with Python, API development, financial data systems, tool deployment processes, and cutting-edge AI technologies within a leading quantitative investment firm. Key Responsibilities Assist senior developers in the design, development, and testing of MCP server components and tools using Python. Contribute to the enhancement of existing tools, potentially including our internal command-line data access tools, by addressing smaller bugs or implementing specific features under guidance. Support the development of new MCPs by working on well-defined modules or tasks. Facilitate the deployment of newly developed tools and software packages to user environments. Collaborate with Portfolio Managers and other end-users to guide them through tool installation processes and provide initial user support. Participate in unit testing and integration testing efforts, helping to ensure software quality. Assist in data validation and reconciliation tasks for strategy metrics and features. Help create and update technical documentation for MCPs, related systems, and user guides. Support the investigation of data sources and assist in finalizing data specifications. Collaborate with the team on debugging and troubleshooting technical issues Gain exposure to financial data concepts (PnL, risk) and quantitative trading systems. What You'll Bring: Core Skills: Currently pursuing a Bachelor's or Master's degree in Computer Science, Engineering, Data Science, or a related technical field. Basic to intermediate proficiency in Python programming. Understanding of software development principles and methodologies. Familiarity with data structures and algorithms. Domain-Specific Knowledge (Beneficial but not required, strong willingness to learn is key): Interest in finance, quantitative trading, or financial data. Basic understanding of APIs and data formats like JSON or CSV. Technical Environment Familiarity (Helpful): Experience with Linux or a similar Unix-like operating system. Familiarity with version control systems (e.g., Git). Basic understanding of software deployment concepts. Soft Skills: Strong analytical and problem-solving aptitude. Eagerness to learn and a proactive attitude. Excellent communication and interpersonal skills, with an ability to assist technical and non-technical users. Good teamwork skills. Attention to detail. Internship availability - at least 4 months starting January 2026 By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction. Copyright © 2025 WorldQuant, LLC. All Rights Reserved. WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law.","https://www.glassdoor.sg/job-listing/software-engineer-intern-ai-llm-initiative-worldquant-JV_IC3235921_KO0,42_KE43,53.htm?jl=1009766923501&cs=1_b3e80f0e&s=58&t=SR&pos=105&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009766923501&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-e730c933a08606db&cb=1769067505220&ctt=1769067526706"
C++ Software Engineer - URGENT HIRE,Fourier Ltd,Singapore,$200K - $700K (Employer provided),4.5,"About the Role: As a Low Level Software Engineer, you will: Develop and optimize low-latency trading systems and infrastructure. Write high-performance code in C++ to handle real-time data processing and execution. Work closely with traders, quants, and other engineers to design and implement innovative solutions. Optimize system performance and latency to ensure competitive advantage in the market. Troubleshoot and resolve complex technical issues in a fast-paced trading environment. Key Responsibilities: Design, develop, and maintain low-latency trading systems. Optimize existing systems for performance and latency. Collaborate with cross-functional teams to gather requirements and deliver solutions. Conduct performance analysis and tuning of trading infrastructure. Ensure robustness and reliability of trading systems through thorough testing and troubleshooting. Qualifications and Qualities: Extensive experience with C++ programming, particularly in low-level, high-performance applications. Strong understanding of low-latency and high-frequency trading environments. Experience with real-time data processing and systems optimization. Excellent problem-solving skills and attention to detail. Ability to work effectively in a collaborative, fast-paced environment. Background in financial services or trading is a plus, but not required. What We Offer: A challenging and dynamic work environment at the cutting edge of trading technology. Opportunities to work on high-impact projects and innovate in the trading space. Competitive compensation package, including a competitive salary and comprehensive benefits. Collaboration with industry experts and a clear path for career advancement. If you are a skilled C++ developer with a passion for low-level programming and want to make an impact in the trading world, apply now for immediate consideration.","https://www.glassdoor.sg/job-listing/c-software-engineer-urgent-hire-fourier-JV_IC3235921_KO0,31_KE32,39.htm?jl=1009416099252&cs=1_e986913f&s=58&t=SR&pos=115&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009416099252&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-ccda83854bc0e81b&cb=1769067505222&ctt=1769067537413"
