title,company,location,job_type,description,benefits,url
Software Developer,Titansoft Singapore,Singapore,Fresh graduate,"There are only 10 types of people in the world. Those who understand binary and those who don't. 01010011 01101111 01100110 01110100 01110111 01100001 01110010 01100101 00100000 01000100 01100101 01110110 01100101 01101100 01101111 01110000 01100101 01110010 Do you? Like-minded people with a strong passion for the intricacies of software programming and who embrace the idea of positive change, we have been looking for you like, everywhere! If you want to leave a great, life-changing (for you and the many, many, many of our customers) footprint upon the face of the earth (virtually, because we're all about being #ecofriendly), we soooo want to speak with you. What a Software Developer does in Titansoft Apply your expertise on our web applications using C#, ASP.NET and SQL Integrate awesome web applications with database or API-driven back-ends Design incredible templates for users' ease of use Enjoy solving problems with your team before they even turn into one Challenge ideas and spawn something revolutionary Work in a dynamic, collaborative and non-hierarchical team to break new grounds What we are looking for in a Software Developer Experience 0 - 2 years of technical expertise in the software industry (fresh graduates definitely welcome!) Knowledge and experience on industry best practices, such as Test-Driven Development and Clean Code What makes a (Super!) Software Developer in Titansoft Passionate about life and how to make it better through technology Continuously seek improvements in our products, processes and people Constantly honing programming techniques and developing new skills What everyone gets in Titansoft (psst. We didn't get that Great Place To Work in Singapore 2024 Award for nothing!) 18 days of rest and relaxation for each year (P.S. It gets even better over the years!) Competitive salaries and bonuses bench-marked against big players in the industry (Yeap, those companies!) Flexible working hours (Sleep in a little longer after fixing that pesky bug from last night) Comprehensive insurance coverage Wellness fund (Flexibilty to use it for medical, dental, EAP or even attraction parks!) Very well-stocked pantry (We've never heard of the term 'Hunger Games', nope) Communities of Practice and Workshops catered for your growth and learning Substantial subsidies and programs to keep that creative flow while having fun (Health promotion program, annual overseas company outing, an annual dinner that nobody will ever forget, etc.) Hardcore work and hardcore fun! Working at Titansoft will probably be unlike any other careers you have ever had.",Health insurance; Flexible schedule,https://sg.indeed.com/jobs?q=software&l=Singapore&from=searchOnHP&vjk=7db057a702f588ea
Automation Engineer Intern,INNOWAVE TECH PTE. LTD.,Singapore,Internship,"About Innowave Tech Singapore Innowave Tech is a dynamic and innovative IT company at the forefront of the AI and Industry 4.0 revolution. Focused on providing cutting-edge solutions, we empower businesses to transform through the power of automation, data analytics, and artificial intelligence, to meet the complex needs of our clients in the advanced manufacturing and semiconductor industry. Utilizing deep industrial domain knowledge, proven experience, and innovation, we provide expert AI solutions and systems to address various industry pain points. Why Join Us Innowave Tech is committed to provide interns with industrial exposure from tailoring and testing equipment in lab, to deploying on customer site. Interns get to be involved in their projects at customer sites to see how the full solution works in live. Roles and responsibilities You will be part of the Automation Team that will create products which will revolutionize the factory floor. You will support our automation projects (Automated Inspection Tools, Industrial IoT (IoT) implementation, smart devices from assembly to deployment and/or tool development). Throughout this process, you will also be involved in the preparation of key engineering documentation and drafting technical specifications. Work with our engineering partners to get customer problems resolved Support automated systems' installation, testing and commissioning Automate procedure through our proprietary Innowave's system implementation Install, test and configure Innowave's proprietary automation system software Propose changes and improvements to increase efficiency of products and systems Give support in evaluating/testing new components/suppliers Requirements: Students currently pursuing in any Engineering disciplines at local polytechnic/ university, preferably Mechatronics, Electrical and Electronic Engineering, Mechanical Engineering, Aerospace Engineering, Robotics. Internship commitment for more than 3 months Basic knowledge of Automation technology Soldering and wiring skill is advantageous Python or Arduino is a plus Able to read Basic EE Circuitry Design. Basic 3D drawings in CAD software (e.g. Solidworks) is preferred Proficiency in MS Office Good verbal and written communication skills Willingness to learn and a can-do attitude Application Instruction 1. Please indicate start and end dates of intended internship in your resume.",,https://sg.indeed.com/viewjob?jk=42bb9ccd52563e27&tk=1jfid8bisi8mi801&from=serp&vjs=3&advn=179800443906298&adid=455206302&ad=-6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEzjtva08LOL40sIQf2ldMPkBI0844FPNHLP6x5CEhFqF49juUjKlwF-sMAG3yI7lutW85E8L7Hdv-fVgQc0YVxjRUWvxUmslTCkJPggkq0Ds6dMK19Y_5u2mRemQFZtS2-ylWuoMW3SmJ8EoZCD477fNQud3aHYRXBblTLOd4lK_pQlPJJef_soD3lKHlWsb8-QKLJV92gPvXXZXc0IlKD_1c5sQ8dxnL7FXj6JO56UMx-9i71cP28pN6AZZE-NOBAkxZFNWk20VFIeAWGFdIi3l7fZK06gLd0Vogelmqvdnz74kvOzCYHehnPKuUJ-uxELesFC5Su8n35uP8YBUqTRnrax0qB3DzWqP2WSwSrpHF_L80IjMlYLuBu5bqG6SchUkUpDFsVPlfwsIrzqCDe7cNT34D2l1rExA6w2D7836ZjuhyghPSQaNDHuTROepYvujqltff-K67GTkPIZMFw1_bBAQVQZqlw==&xkcb=SoBD6_M3oySRbmzI750JbzkdCdPP&xpse=SoAm6_I3oySuqbQE050IbzkdCdPP&sjdu=dtXADpuwviNwHAcP_0C2om8en-HeGVEjgyadgTLktddrtJ6Dag86LazkVhe98S3GvuHpx60EXB23mrCLmWf5MZdqoLjVBzGGL61qOKVfArvlDfPuhwk3tTt8FNn_dtkvKRVKnGSooUX6TI-GaXSRzJ9AWMCGFs_XXC0_6pqTAJIMFS1rcL1qC-7hCxCpIFVokC98lSIOfqaqIT1yrHWlmIT08NFlsAL8J1dCzUHXNJ1mmJVZY2TycTk1eFuMklZm
Data Scientist (Data & AI),PERSOL,Singapore,"$5,500 - $7,300 a month","Working Hour: Monday to Friday, office hours Working Location: Central Responsibilities: Design, develop and deploy AI/ML/Gen AI solutions in areas including the consumer utilities app, electric vehicle charging, grid planning and monitoring, asset optimization, billing operations, work site safety and customer experience. Provide ad-hoc decision support to business leaders through product analytics, experiment design, A/B testing and impact analysis. Engage business stakeholders to understand user requirements, leverage domain knowledge, drive project targets and deliver business value. Lead technical efforts to develop key AI/ML/Gen AI capabilities in areas such as time series forecasting, anomaly detection, graph network analysis, multimodal generative AI, autonomous agents, AI security guardrails, LLM evaluation framework and SLM fine-tuning. Work closely with data engineers, business analysts, product owners, UX designers, AI engineers and software engineers to adopt iterative, agile AI delivery framework. Establish and implement AI governance practices, including model documentation, validation, explainability, security guardrails, performance monitoring and ethical considerations. Promote AI literacy and democratization by building reusable tools, self-service analytics platforms, and conducting training and workshops for business users. Monitor and evaluate emerging AI tools, frameworks, and vendor solutions for internal adoption.Guide junior team members and manage interns/contractors. Requirement: Minimum 2 to 5 years of experience in a data science role. Proven track record of developing and deploying AI/ML solutions in cross-functional teams to solve business problems. Hands-on experience with Gen AI frameworks (e.g., LangChain, LlamaIndex, HuggingFace Transformers). Excellent understanding of machine learning, deep learning and generative AI models, their pros and cons, and ability to evaluate them for different applications. Extensive experience applying domain knowledge and statistical techniques in feature engineering to improve model performance and create innovative solutions. Deep proficiency in at least one of the following: CV, NLP, time series modeling, network analysis, predictive maintenance, document understanding, RAG, PEFT fine-tuning, Agentic AI. Able to actively engage stakeholders, navigate dynamic complexities, lead end-to-end project delivery and manage work of team members. Strong data visualization and storytelling skills, proficient in translating technical results to actionable business insights for business leaders. Experience deploying Gen AI models to production, including containerization (Docker), APIs, and cloud platforms (AWS, Azure, or GCP). Familiarity with governance frameworks like Singapore's Model AI Governance Framework, EU AI Act, or NIST AI Risk Framework.Knowledge in energy tech or related domain We regret to inform that only shortlisted candidates will be notified. By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOL SINGAPORE PTE LTD and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at . You acknowledge that you have read, understood, and agree with the Privacy Policy. This is in partnership with Employment and Employability Institute Pte Ltd ('e2i'). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to e2i's PDPA. PERSOL Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394 REG Number. R23117757 (Loh Yi Yuan)",,https://sg.indeed.com/viewjob?jk=003f90579049a17a&tk=1jfid9538gme2803&from=serp&vjs=3&advn=5649008902086059&adid=455134726&ad=-6NYlbfkN0CXyMb_b13Ju5TPOz3V1Wxars6EnOhbRmilgzLpYZ8vc59Ozs9gpSFlBPiiMXf6vcYBMz15yGcFg7ccj30ZLSaIOI6A1D8VznbhfEo4rJtqlK_n4xDgPsGhDbebJ5Yq6fDtkMwF6_iO6_SAEq3-3OnNQAfEEI_Cj6EhzdXyhxo_ybbv_4hygqg0UOdj3KrLINcNakpj78Z_hLdzRcUwvWmFMAXAyThSAMrfAiD5oYygQ30KKUb_QX9ltOxFAdSTzoUqa36sfk6FkaAC2r7IsnJH5Wj6XTMdKoYrK3Ske3L68w9KMR2PvIpNpxDnd1nnzB2YqZylRg_BXAYNKnURW2DegG7gjXgZ8A0by4BLsoULzNYdleuFwsFme78H8d3awVpNRW-x4Xdv1XhSAMrmD_3S1OisyA_8MeSa-XgkqFntpt8vgqVt30jKRNC1g_Rm2E9ywI9q60AF1GaSmcc-cu_7v-sTpMCF1YVLQvQ180M6C5xdvA79v-VF67qHkEOAAjV8TX7jMDPvtAslbxW3hGKXQK9puNSahAg=&xkcb=SoD36_M3oySRbmzI750IbzkdCdPP&xpse=SoAa6_I3oySreBS5W50ObzkdCdPP&sjdu=1rGqeOxubgSb3fVUCQY1G0xzOIwf9wydrsTBizCL1Pj6IO6BMHqGDOge-WJIjbsDoG-fXIRneY3GLD7bjJYy-v6zi95dM4BIqTJ6nHP1rWif5OuBMMDqiKjc7xz2rZ1Ak0_XHyL8d4pLAIEeAuxzng
SG Software Intern,TETRAMEM INC,Singapore,$20 - $50 an hour -  Internship,"About the Role We are seeking a Software Intern to support the development of tools, frameworks, and applications that enable neural network models to run efficiently on TetraMem's novel analog compute-in-memory chips. This is an exciting opportunity to work at the intersection of software, hardware, and artificial intelligence. Responsibilities Develop and optimize Python or C++ code for neural network and machine learning model compression, conversion, deployment, and runtime environments Analyze and adapt ML models for to improve their compatibility and efficiency on compute-in-memory hardware and software Support software design, development, and performance profiling Collaborate with AI researchers and hardware engineers to validate system-level functionality Participate in code reviews, testing, and documentation Qualifications Currently pursuing a degree in Computer Science, Electrical Engineering, or related field Solid programming experience in Python, C++, or similar Understanding of data structures, algorithms, and software architecture Familiarity with AI/ML frameworks (e.g., TensorFlow, PyTorch) is a plus Strong problem-solving skills and eagerness to learn Salary Range: S$20-50/hr",,https://sg.indeed.com/viewjob?jk=7cbc89374cc49ac7&tk=1jfid7lh1hen2801&from=serp&vjs=3
Software Engineer Intern,Simular,Singapore,Internship,"Where multiple locations are listed for this role, the position may be based in any of those locations, with priority determined according to the order of listing. What you'll do As a Software Engineer Intern at Simular, you'll work closely with our founding team to help bring AI agents into the real world. Depending on your skills and interests, you may: Contribute to core product development, building new features and improving performance. Work with the infrastructure team on scaling systems and virtual machines. Support Forward Deployed Engineering projects, writing scripts and integrations to adapt agents to customer needs. Collaborate with designers and researchers to prototype new ideas and test them with users. Gain hands-on experience in a fast-moving startup where every line of code can make an impact. You might be a fit if Currently pursuing a Bachelor's or Master's degree in Computer Science, Computer Engineering, Information Systems, or a related technical field. Solid programming skills in Python, JavaScript/TypeScript, or a similar language. Strong CS fundamentals and problem-solving ability; competitive programming background (e.g. ACM ICPC, IOI, Google Code Jam, or equivalent contests) is highly preferred. Willingness to dive into different parts of the stack, from frontend to backend to deployment scripts. Curiosity, adaptability, and eagerness to learn in an ambiguous, fast-paced environment. Strong communication and collaboration skills. Bonus: prior internship or project experience in AI, agents, or productivity tools.",,https://sg.indeed.com/viewjob?jk=7529b6eee02161e4&tk=1jfid7lh1hen2801&from=serp&vjs=3
Software Engineering Intern,Marymount Labs,Singapore 119613,"$1,000 - $3,000 a month -  Part-time, Fresh graduate, Internship","About Marymount Labs Marymount Labs builds digital health tools that help care teams reach the right patients at the right time. Our flagship platform, Broadcast, orchestrates personalised WhatsApp outreach based on clinical priorities - automating nudges, reminders, and education to support follow-up and preventive care. We work with clinics, health systems, and researchers to close care gaps and make proactive communication a seamless part of healthcare delivery. About The Role As a Software Engineer, you will collaborate closely with our founders and product team to refine and advance our web applications. Your role will be critical in both front-end and back-end development. We cherish our team culture and the unique skills each member brings. With a view toward the future, we are eager to identify exceptional individuals for potential full-time opportunities and role expansions. What You'll Work On Engage with our product team to ideate, design, and execute software product features. Develop and refine back-end services, ensuring robust integration with front-end systems. Proactively troubleshoot customer issues, swiftly resolving bugs to enhance product reliability and functionality. Maintain a strong focus on data security and privacy, with a comprehensive understanding of APIs and related technologies. Who We're Looking For Experience in or currently pursuing a degree in Computer Science, Computer Engineering, Business Analytics, Information Systems, or related fields. Proficiency in Python for back-end development A solid grasp of database management and API integration, with a heightened awareness of privacy and security best practices. An analytical thinker with meticulous attention to detail and strong inductive reasoning skills. An enthusiastic learner with a growth mindset, ready to tackle complex problems and expand your technical expertise. Job Types: Part-time, Internship, Fresh graduateContract length: 6 months Pay: $1,000.00 - $3,000.00 per month Expected hours: 16 – 32 per week Benefits: Flexible schedule Work Location: Hybrid remote in Singapore 119613",Flexible schedule,https://sg.indeed.com/viewjob?cmp=Marymount-Labs&t=Software+Engineer+Intern&jk=e222c73b1ef07ca4&q=software+intern&xpse=SoAS67I3oySpGKwE050LbzkdCdPP&xfps=62f85abf-c5f1-4d5d-96dd-e01f72866c80&xkcb=SoCk67M3oySRbmzI750NbzkdCdPP&vjs=3
Artificial Intelligence Intern [IDA:00029],Aumovio,Singapore 339780,Full-time,"Company Description Since its spin-off in September 2025 AUMOVIO continues the business of the former Continental group sector Automotive as an independent company. The technology and electronics company offers a wide-ranging portfolio that makes mobility safe, exciting, connected, and autonomous. This includes sensor solutions, displays, braking and comfort systems as well as comprehensive expertise in software, architecture platforms, and assistance systems for software-defined vehicles. In the fiscal year 2024 the business areas, which now belong to AUMOVIO, generated sales of 19.6 billion Euro. The company is headquartered in Frankfurt, Germany and has about 87.000 employees in more than 100 locations worldwide. Job Description Primary Goals: Develop an Agentic AI framework to standardize requirements expressed in natural language. Explore and implement methodologies to enhance the effectiveness and efficiency of requirement normalization using Agentic AI. Evaluate the performance of the developed model through rigorous testing and comparison with existing methods. Explore and implement methods to make open-source LLMs assist in requirement domain-specific generation, including data pre-processing, model-finetuning, etc. Document the project findings and present them in a clear and comprehensible manner. This internship provides an excellent opportunity for talented individuals passionate about Artificial Intelligence, Generative AI, Agentic AI, and Prompt Tuning. As a part of our team, you will collaborate with experienced practitioners and researchers, gain practical experience in state-of-the-art technologies, and contribute to pioneering research in the field of Generative AI assisted by Agentic AI. Activities: Research and understand the principles and applications of Generative AI, with a focus on Agentic AI. Design and implement an Agentic AI framework and Generative AI model capable of normalizing requirements expressed in various forms of natural language. Develop methods to assist and augment the knowledge retrieval from multiple sources and associated generation (Retrieval Augmented Generation). Collect and preprocess a diverse dataset of requirements for training and evaluation purposes. Fine-tune the LLM parameters and optimize its performance through iterative experimentation. Develop evaluation metrics and conduct thorough testing to assess the effectiveness and efficiency of the model. Document the project progress, methodologies, and results in a comprehensive report. Prepare and deliver presentations to communicate the project findings to stakeholders. Qualifications Requirements: Currently enrolled as an undergraduate or master's student in Computer Science, Data Science, Machine Learning, Robotics, or a related field. A strong academic record with coursework in artificial intelligence, deep learning, or NLP is preferred. Proficiency in machine learning and natural language processing techniques. Familiarity with Generative AI models, particularly Agentic AI, is highly desirable. Prior experience with libraries like LangChain, LangGraph, gradio, streamlit is a plus. Prior experience with storage and retrieval from vector DBs is a plus. Strong programming skills in languages such as Python. Experience with implementing machine learning algorithms or NLP projects in academic or otherwise is advantageous. Experience with deep learning frameworks such as TensorFlow or PyTorch. Ability to work independently and collaboratively in a dynamic team environment. Excellent communication skills, both written and verbal. Prior experience with AI-related projects or research is a plus. This project offers a unique opportunity to apply cutting-edge AI techniques to address real-world challenges in requirements engineering. The successful candidate will have the chance to make significant contributions to the field of Generative AI while gaining valuable experience and skills in advanced machine learning methodologies. Additional Information Ready to take your career to the next level? The future of mobility isn't just anyone's job. Make it yours! Join AUMOVIO. Own What's Next.",,https://sg.indeed.com/viewjob?jk=c48cc3dd625a4dfd&tk=1jfid7lh1hen2801&from=serp&vjs=3
Cybersecurity Tester Intern [IDA: 00055],Aumovio,Singapore 339780,Full-time,"Company Description Since its spin-off in September 2025 AUMOVIO continues the business of the former Continental group sector Automotive as an independent company. The technology and electronics company offers a wide-ranging portfolio that makes mobility safe, exciting, connected, and autonomous. This includes sensor solutions, displays, braking and comfort systems as well as comprehensive expertise in software, architecture platforms, and assistance systems for software-defined vehicles. In the fiscal year 2024 the business areas, which now belong to AUMOVIO, generated sales of 19.6 billion Euro. The company is headquartered in Frankfurt, Germany and has about 87.000 employees in more than 100 locations worldwide. Job Description Development of Security Test Solution Execute automated test scripts for fuzzing, scanning Participate in research for vulnerabilities Write test cases Qualifications C/C# Python Embedded System Basic Cybersecurity attributes Basic Linux commands Additional Information Ready to take your career to the next level? The future of mobility isn't just anyone's job. Make it yours! Join AUMOVIO. Own What's Next.",,https://sg.indeed.com/viewjob?jk=25a576c9f6dc2c67&tk=1jfid7lh1hen2801&from=serp&vjs=3
Graphic Designer and Social Media Intern,Substance,Singapore,Internship,"Substance is seeking a talented and imaginative Graphic Designer and Social Media Intern to assist in crafting visually appealing content that enhances our brand presence across social media platforms. This internship offers an exceptional opportunity to delve into the world of graphic design and digital marketing, allowing you to showcase your design skills while learning the ins and outs of social media strategies. If you are passionate about design and eager to make an impact in the digital space, this is the role for you! Key Responsibilities: Graphic Design: Create eye-catching graphics and assets for social media, pitch decks, website, e-shots, newsletters, and promotional materials that comply with brand guidelines and engage our audience. Social Media Content Development: Collaborate with the marketing team to develop creative social media posts, stories, and campaigns that resonate with our target audience. Trend Research: Stay updated on design trends and best practices for social media to continuously elevate our visual content strategy. Editing and Revisions: Review and edit designs based on feedback from team members, ensuring high-quality output and timely delivery. Performance Analysis: Monitor engagement rates on social media content created and suggest improvements based on performance data. Team Collaboration: Work closely with various international team members to align on project goals and deliver creative solutions that meet marketing objectives. Requirements: Qualifications: Currently pursuing or recently completed a degree in Graphic Design, Visual Arts, Marketing, or a related field. Proficiency in graphic design software such as Adobe Creative Suite (Photoshop, Illustrator, etc.) and familiarity with social media tools. A strong portfolio that displays your design skills and creativity. Excellent attention to detail combined with a strong aesthetic sense. Ability to work independently, manage multiple projects, and meet deadlines in a fast-paced environment. Strong communication and collaboration skills to effectively work with team members. Passion for storytelling through visual media and a keen interest in social media trends. Benefits: Hybrid working in office and home Training & Development Stipend & Performance Bonus Potential for future career growth within the company At Substance, we're all about action, not just talk. If your profile aligns with what we need, you'll hear from us within 1-2 weeks. If not, no fluff—just know we value your interest and will keep you in mind for future roles where your skills can make an impact. We focus on real connections and meaningful matches, so when the right opportunity comes, we'll be ready to make it happen. Getsubstance.co Pte. Ltd. | EA License No: 24C2398",,https://sg.indeed.com/viewjob?jk=c93739a03739bd8c&tk=1jfid7lh1hen2801&from=serp&vjs=3
"Research Software Intern - SLAM, Machine Learning & Sensor Calibration",Motional,Singapore,"Full-time, Internship","We are seeking highly motivated Master's or PhD students to join our team as a Research Intern to conduct cutting-edge research and development in Localization, Mapping and Calibration. This is an exceptional opportunity to contribute directly to the advancement of autonomous vehicle technology, working alongside a team that is leading the industry in location, mapping and calibration innovation. The internship will take place in our Singapore office and we expect a full-time internship period of at least 5 months. We offer flexible working hours and allow for remote work; however, the candidate will need to reside in Singapore for the duration of the internship. What you'll be doing: Conduct advanced research and development on state-of-the-art state estimation problems, specifically focusing on scalability across city and multi-city environments. Research topics including, but not limited to: SLAM methods for city-scale mapping technologies, outdoor sensor calibration technologies, etc. Work with large-scale internal datasets to demonstrate the effectiveness of your research. Collaborate with different teams to deploy your research results onto autonomous vehicles. Publish the research results in papers and patents. What we are looking for: Currently enrolled in a Master's or PhD program in Computer Science, Electrical Engineering, Robotics, or a similar technical field of study. Strong research background in the field of SLAM, state estimation, and/or sensor calibration, with publications in any of the top-tier conferences (e.g., CVPR, ICCV, ECCV, ICRA, IROS, RSS). Experience in at least one of the following: applying machine learning techniques to mapping or geospatial problems, working with large-scale mapping datasets or systems, utilizing online calibration techniques for autonomous driving or robotics systems, or demonstrating a strong theoretical and practical background in computer vision (especially sensor calibration/SLAM). Strong communication and interpersonal skills. Proficiency in C++/Python coding, having experience in onboard programming, with an understanding of real-time systems is a plus. Previous experience in autonomous driving is preferred. Motional is a driverless technology company making autonomous vehicles a safe, reliable, and accessible reality. We're driven by something more. Our journey is always people first. We aren't just developing driverless cars; we're creating safer roadways, more equitable transportation options, and making our communities better places to live, work, and connect. Our team is made up of engineers, researchers, innovators, dreamers and doers, who are creating a technology with the potential to transform the way we move. Higher purpose, greater impact. We're creating first-of-its-kind technology that will transform transportation. To do so successfully, we must design for everyone in our cities and on our roads. We believe in building a great place to work through a progressive, global culture that is diverse, inclusive, and ensures people feel valued at every level of the organization. Diversity helps us to see the world differently; it's not only good for our business, it's the right thing to do. Scale up, not starting up. Our team is behind some of the industry's largest leaps forward, including the first fully-autonomous cross-country drive in the U.S, the launch of the world's first robotaxi pilot, and operation of the world's longest-standing public robotaxi fleet. We're driven to scale; we're moving towards commercialization of our technology, and we need team members who are ready to embrace change and challenges. Formed as a joint venture between Hyundai Motor Group and Aptiv, Motional is fundamentally changing how people move through their lives. Headquartered in Boston, Motional has operations in the U.S and Asia. For more information, visit www.Motional.com and follow us on Twitter, LinkedIn, Instagram and YouTube. Motional AD Inc. is an EOE. We celebrate diversity and are committed to creating an inclusive environment for all employees. To comply with Federal Law, we participate in E-Verify. All newly-hired employees are queried through this electronic system established by the DHS and the SSA to verify their identity and employment eligibility.",Work from home; Flexible schedule,https://sg.indeed.com/viewjob?jk=fcce20a456838f4e&tk=1jfid7lh1hen2801&from=serp&vjs=3
