Title,Company,Job ID,Location,Employment Type,Job Level,Experience,Category,Salary,Applications,Posted Date,Closing Date,Response Time,Roles & Responsibilities,URL
Software Engineer,HYPOTENUSE TECHNOLOGIES PTE. LTD.,MCF-2026-0062504,71 AYER RAJAH CRESCENT 139951,Full Time,Fresh/entry level,No exp required,"Engineering, Information Technology","$4,000to$7,000Monthly",54 applications,Posted 11 Jan 2026,Closing on 10 Feb 2026,,"About us We’re building a new way for ecommerce brands to manage their product data and create content with it using AI—turning workflows that used to take months into days. On Hypotenuse AI, brands can store their product data, and have AI agents fill in missing details, edit their product images and write their content. Hypotenuse AI is impacting the entire ecommerce industry globally, with customers ranging from brands like Billabong and Crunchyroll to some of the largest department stores in US and Canada. We’re backed by top global investors like Y Combinator, January Capital and executives from Amazon, Shopback and other VCs/angels, and have an experienced team of hard-hitters with a background in AI research, ecommerce and top startups. Join us if you want to be part of the journey as we build a generational company reshaping AI & ecommerce! The role We’re looking for an experienced full stack engineer to join us as we scale and reshape how ecommerce brands work. We handle large amounts of data (millions of product records per customer), across many brands, and are constantly onboarding new customers fast—scaling up what we do is a key priority in this role. We don’t want code monkeys. In this role, you’ll be extremely hands on, spending the bulk of time rapidly building features, fixes and improvements, while working on a high level: scaling infra, architecting/designing new components and thinking about the product. Here are some examples of the types of problems that teammates in this role work on: designing and implementing a new image generation workflow and feature from start to end orchestrating and engineering context around AI models/LLMs to maximize performance (output quality, speed and reliability) optimizing database queries or frontend components to reduce generation time from X to Y rapidly shipping and iterating on new and core features scaling up our infrastructure to be able to handle high concurrency, high volume asynchronous jobs so it can handle a load of X in Y time influencing our current engineering practices and constantly improving them to increase dev speed, reduce bugs, improve code practices etc. You’ll work on features and applications that push the frontier of what’s possible today, setting the groundwork and solving problems from first principles to reshape how ecommerce brands work as an industry. To achieve that level of impact, we work intensely and move fast. Expect new features every few days. Expect hard work, long hours. Expect to build things that no one has done before. We thrive on speed and precision, coupled with a whole lot of new technology. Sound like you? We want engineers who can thrive in a startup; able to work in an extremely fast-paced environment, and can truly drive building features from scratch. We’re looking for engineers who: Own things end-to-end: we’re a startup. You aren’t here to just receive instructions. We want you to be a thinker and driver. Play a part in figuring out the features to build, the architecting of it, and driving it all the way to customer impact. Obsess over problems: if you love to dig deep into architecture and scaling issues, optimize queries, figuring out tricky bugs; if you obsess and have a constant curiosity to dig deep and learn, then we are your tribe. Are product minded: you think beyond just code. You understand the customer, problem statements, and are able to drive impact on a product-level. Bonus if you love interacting directly with users. Not all of the following are strict requirements, but experience and a strong foundation will help a long way: You've designed and built backend architectures (i.e. experience with AWS, designing APIs, components, database optimizations etc..), often needing to handle large amounts of data and concurrent or asynchronous jobs You're familiar with software engineering best practices (testing, logging/monitoring, deployments, event tracking etc..) and have worked with large codebases before Interest in AI (experience in AI and training AI models isn’t a requirement—you’ll learn a lot about that from our team here, but it is a bonus, and you need to have a strong interest and inclination for it) We're hiring across all experience levels — from fresh graduates to junior, senior, and lead software engineers. Note: this is an in-person role—only open to candidates in Singapore or those willing to relocate.",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-hypotenuse-technologies-e011d8bc79cc60419f21fec65bf39c38?source=MCF&event=SuggestedJob
Senior Software Engineer,CIELO TALENT PTE. LTD.,MCF-2026-0110417,1 YISHUN AVENUE 7 768923,"Permanent, Full Time",Non-executive,5 years exp,"Manufacturing, Sciences / Laboratory / R&D","$8,000to$12,000Monthly",1 application,Posted 19 Jan 2026,Closing on 18 Feb 2026,,"Job Description We are seeking a highly skilled and motivated Senior Software Engineer to join our LC/MS R&D team. In this role, you will play a pivotal part in accelerating the development and refinement of our next-generation LC/MS instrumentation. You will architect, design, and implement software solutions for a range of spectrometers, and contribute to the development of our Tune Calibration Diagnostics platform. You’ll collaborate with a dynamic, cross-functional team of software developers, architects, scientists, engineers, and product marketing professionals to deliver innovative software applications and services that support analytical instruments used by global customers in life sciences and applied markets. Key Responsibilities Apply advanced computer science and programming expertise to solve real-world challenges in analytical and life science domains. Design, implement, and deploy efficient, robust software modules with new features, adhering to best practices in architecture and coding. Engage in hands-on development activities including coding, unit testing, integration testing, and peer reviews. Lead and participate in design review sessions; clearly present and demo your work to internal stakeholders. Collaborate with front-end developers to ensure seamless integration across the software stack. Work within an Agile development environment, contributing to sprint planning, retrospectives, and continuous improvement. Help define and uphold high standards for design and coding practices in partnership with architects and technical leaders. Qualifications Bachelor Degree in Computer Engineering, Analytical Chemistry, Electrical Engineering, or equivalent professional experience. Over 5 years of experience in software development, including multiple years dedicated to designing and implementing software solutions for instrument control. Proficiency in C, C#, and .NET within the Microsoft development ecosystem. Proficiency with object-oriented programming and design patterns in C#. Experience with projects involving real-time systems, multi-threading, and user experience considerations. Experience with WPF and MVVM design is advantageous. Experience with software localization, regulated/audited environments, chromatographic data systems is considered an asset. Background in mass spectrometry, data acquisition, data analysis, medical or instrumentation products is beneficial. Experience with Python and machine learning is a plus. Strong foundation in software architecture, algorithm design, data structures, modularity, and maintainability. Excellent communication skills with the ability to clearly articulate technical concepts. Must be available to work on-site.",https://www.mycareersfuture.gov.sg/job/manufacturing/senior-software-engineer-cielo-talent-3e8bf4491e0eae5e93db4ffaecbe3848?source=MCF&event=Search
Software Engineer,VIRTUSA SINGAPORE PRIVATE LIMITED,MCF-2026-0098864,"ESR BIZPARK @ CHANGI, 8 CHANGI BUSINESS PARK AVENUE 1 486018",Full Time,Professional,9 years exp,Information Technology,"$9,000to$16,000Monthly",13 applications,Posted 16 Jan 2026,Closing on 30 Jan 2026,Typically Replies in 30 Days,"Solution Architect Responsibilities  Own the end-to-end system architecture and ensure detailed designs and implementations align with the Customer’s Enterprise Architecture and technology standards.  Translate complex business and non-functional requirements (including resiliency, scalability, security, and integration needs) into clear, actionable technical and architectural specifications.  Design, document, and govern architecture blueprints across business, application, data, and ICT domains using appropriate architectural frameworks and models.  Propose, evaluate, and recommend products, platforms, and solutions aligned with the Agency’s Enterprise Architecture, cloud strategy, SG Tech Stack, and legacy modernization initiatives.  Lead solution design for enterprise and cloud-based systems, including Salesforce platforms and third-party / cross-platform integrations.  Review system designs, source code, and technical solutions throughout the software development lifecycle to ensure quality, performance, security, and compliance with standards.  Collaborate with business stakeholders, developers, and vendors to break down complex business requirements into detailed technical designs and implementation plans. Experience and Skills Required  Degree or Diploma in any discipline.  Proven experience as a Technical Lead and/or Solution/System Architect, with strong background in system design, performance tuning, prototyping, and system maintenance.  Hands-on experience across full project development life cycles (SDLC).  Strong ability to evaluate and recommend suitable technologies aligned with the Customer’s technology directions (e.g. cloud adoption, enterprise architecture, legacy system modernization, SG Tech Stack).  Experience in designing and implementing .NET and/or J2EE applications, with excellent data modelling and SQL skills.  Solid understanding of server-side .NET and/or Java development, Service- Oriented Architecture (SOA), web services, and public-facing web applications / e- services. Key Client-Focused Skillsets  Hands-on experience with Salesforce Service Cloud / PSS and Marketing Cloud.  Strong expertise in Salesforce OmniStudio, Apex, and Platform API development.  Experience designing and implementing Marketing Cloud solutions,strong understanding of Marketing Cloud integrations,  Experience with third-party system integration using APIs, web services, or middleware platforms (advantage).  Proven ability to translate and decompose complex business requirements into clear, structured technical specifications and solution designs.  Strong analytical and problem-solving skills, with the ability to think creatively and propose innovative, “out-of-the-box” solutions. Additional Competencies  Strong technical judgment with the ability to select optimal solutions for complex technical challenges.  Results-driven and customer-oriented mindset.  Strong organisational, leadership, and stakeholder management skills.  Excellent verbal and written communication skills, with the ability to articulate architectural decisions and influence stakeholders at all levels.",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-virtusa-singapore-93620e4b3c1efd04e874b9da620f01ef?source=MCF&event=Search
Lead Software Engineer,IKAS INTERNATIONAL (ASIA) PTE. LTD.,MCF-2026-0092713,Islandwide,"Permanent, Full Time",Manager,8 years exp,"Information Technology, Others","$12,000to$18,000Monthly",8 applications,Posted 15 Jan 2026,Closing on 14 Feb 2026,,"As a Lead Software Engineer, you’ll shape technical strategy, and drive the design and delivery of impactful products. You’ll work in an environment that feels like a modern product company: agile, collaborative, and focused on outcomes. What You’ll Be Doing Partner with stakeholders to prioritize work and manage delivery roadmaps Build long-term technical plans that support evolving product and infrastructure needs Collaborate cross-functionally to ensure quality, reliability, and security Lead initiatives that improve engineering effectiveness and drive impact Champion tools and practices that foster a strong engineering culture Build and scale high-availability software systems What We’re Looking For Minimum 8-10 years of full stack experience Proficiency in modern full-stack technologies — ideally React/Next.js and Java/TypeScript/Go Strong technical leadership and the soft skills that build trust and alignment Passion for engineering excellence and thoughtful software craftsmanship Motivation to create public impact through technology Proven ability to guide teams toward shared goals and outcomes Experience leading/mentoring developers and supporting their growth For more information you can contact Norean Tan at norean.tan@sanderson-ikas.sg We regret to inform you that only shortlisted candidates will be notified / contacted. EA Registration No.: R1434118 - Tan Lee Ying, Norean iKas International (Asia) Pte Ltd ROC No.: 200914065E | EA License No.: 16S8086",https://www.mycareersfuture.gov.sg/job/information-technology/lead-software-engineer-ikas-international-4dd6a5b7e4e4d0f09437616be0f7b85f?source=MCF&event=Search
Software Engineer,PARADIGM CONNECT ASIA PTE. LTD.,MCF-2026-0099235,"71 ROBINSON, 71 ROBINSON ROAD 068895",Full Time,Professional,5 years exp,Others,"$20,000to$20,000Monthly",9 applications,Posted 16 Jan 2026,Closing on 30 Jan 2026,,"Responsibilities a) Protocol Development: Design and implement a decentralized protocol for crypto derivatives trading, including developing, testing, and deploying backend systems and smart contracts. b) API and SDK Development: Design and develop APIs and SDKs to support robust trade execution services. c) System Monitoring:Own monitoring, alarming, analytics, and reporting for all services you build, ensuring they meet high performance and responsiveness standards. d) Effective Communication: Collaborate and communicate requirements effectively within and across teams to ensure alignment on project goals. Requirements a) Proven Experience: Minimum 5 years of backend engineering experience. Ideally from ideation to launch within a strong engineering team. b) Technical Expertise: In-depth knowledge and hands-on experience with modern programming languages like Javascript, Python, Golang, Java, C++. Proficiency in basic cryptography and experience with Solidity for creating upgradeable smart contracts. c) Blockchain Proficiency: Hands-on experience building on blockchain platforms, comfortable with cloud-native AWS infrastructure and/or Kubernetes. d) Cryptocurrency Knowledge: Deep understanding of the cryptocurrency ecosystem and underlying technologies like blockchain, PoW, PoS, and L1/L2 technologies. e) Innovative Mindset: Interest in ZK-Rollups and cutting-edge blockchain technologies.",https://www.mycareersfuture.gov.sg/job/others/software-engineer-paradigm-connect-asia-1b1e3125136191d083edbef30792a773?source=MCF&event=Search
"Senior Engineer – Software Engineering Solutions, Quantum Key Distribution",SES WORLD SKIES SINGAPORE PTE. LTD.,MCF-2025-1768824,"111 SOMERSET, 111 SOMERSET ROAD 238164","Permanent, Full Time",Professional,5 years exp,Engineering,"$10,000to$15,970Monthly",17 applications,Posted 16 Jan 2026,Closing on 15 Feb 2026,,"ROLE DESCRIPTION SUMMARY We are seeking a senior software engineer with experience in the domain of Quantum Key Distribution, to join our team in Singapore. The person will be responsible for leading a small team of engineers locally and liaise with the team in Luxembourg. Coordination of local activities and interaction with the local space agency. Mentor and lead the development of software as part of the QKD strategy of SES. Focus on KMS and QKD enable KMS implementations. PRIMARY RESPONSIBILITIES / KEY RESULT AREAS Ensure technical coordination role in Singapore to make sure SES area of responsibilities are represented Direct access and interface to IMDA Coordinate with SpeQtral technical team Start an investigation on cooperation with the student to support the project Prime interface with the SES Luxembourg Quantum Safe team Lead automation and integration activities of multifaced receivers Lead the software part of the project, namely Automated operation, multi-mission / multi-protocol KMS, Quantum SDN for service key routing and orchestration Manage the interface with SpeQtral / local contractors / Support Singapore BD team during customer engagement with respect to technical aspects COMPETENCIES  Minimum 7 years of relevant professional experience in Software Design and Analysis  Knowledge of Quantum communication and Quantum Security domain, with focus and hands on experience on Quantum Key Distribution and relevant technologies.  Knowledge of the following programming languages, C++, Python and/or Java  Hands on experience coding simulators/emulators for space components  Knowledge of space domain and understanding of deploying non terrestrial software and hardware  Knowledge of Embedded Operating systems and real time operating systems.  Knowledge of source control systems and specifically usage of Git  Knowledge of software development lifecycle best practices QUALIFICATIONS & EXPERIENCE  Master’s degree in computer engineering or software engineering or like field (a combination of experience and education will be considered)  At least 5 years of working experience, with focus on QKD technologies, with focus on non-terrestrial QKD technologies  Work in a team and manage the work distribution of team members  Knowledge of Agile/SCRUM or any other iterative methodology for software delivery  Working on a multicultural environment  Knowledge of English is mandatory  Open to travelling in case of requirement of the projects involved Candidates who relocate in to Singapore for the role will be eligible for a housing allowance as per our company policy.",https://www.mycareersfuture.gov.sg/job/engineering/senior-engineer-%E2%80%93-software-engineering-solutions-quantum-key-distribution-ses-world-skies-singapore-16f0d7d17cac5d8c19be7ecd5558e747?source=MCF&event=RecommendedJobJD
Software Engineer,PRESTO LABS PTE. LTD.,MCF-2026-0052416,"CAPITASKY, 79 ROBINSON ROAD 068897",Full Time,Executive,2 years exp,Engineering,"$8,000to$15,000Monthly",79 applications,Posted 09 Jan 2026,Closing on 23 Jan 2026,,"Responsibilities Implement high-performance components for market data processing, order management, and strategy execution. Optimise latency, throughput, and reliability of all trading-critical services. Work closely with quantitative researchers and traders to productionize research models and algorithms. Define and enforce coding standards, architectural guidelines, and development best practices. Qualifications Minimum Qualifications Strong software engineering background with hands-on experience in real-time, low-latency systems. Proficiency in Linux systems programming, performance tuning, and concurrency/multithreading. Preferred Qualifications Advanced degree in Engineering, Mathematics, Computer Science, or a related field. Work conditions Highly competitive salary. Group Medical & Dental Insurance for all employees and their dependents. Meal Allowance during work hours.",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-presto-labs-7fad37db8620a10b0e4f7f91585848c7?source=MCF&event=RecommendedJobJD
Software Engineer,HYPOTENUSE TECHNOLOGIES PTE. LTD.,MCF-2026-0062504,71 AYER RAJAH CRESCENT 139951,Full Time,Fresh/entry level,No exp required,"Engineering, Information Technology","$4,000to$7,000Monthly",54 applications,Posted 11 Jan 2026,Closing on 10 Feb 2026,,"About us We’re building a new way for ecommerce brands to manage their product data and create content with it using AI—turning workflows that used to take months into days. On Hypotenuse AI, brands can store their product data, and have AI agents fill in missing details, edit their product images and write their content. Hypotenuse AI is impacting the entire ecommerce industry globally, with customers ranging from brands like Billabong and Crunchyroll to some of the largest department stores in US and Canada. We’re backed by top global investors like Y Combinator, January Capital and executives from Amazon, Shopback and other VCs/angels, and have an experienced team of hard-hitters with a background in AI research, ecommerce and top startups. Join us if you want to be part of the journey as we build a generational company reshaping AI & ecommerce! The role We’re looking for an experienced full stack engineer to join us as we scale and reshape how ecommerce brands work. We handle large amounts of data (millions of product records per customer), across many brands, and are constantly onboarding new customers fast—scaling up what we do is a key priority in this role. We don’t want code monkeys. In this role, you’ll be extremely hands on, spending the bulk of time rapidly building features, fixes and improvements, while working on a high level: scaling infra, architecting/designing new components and thinking about the product. Here are some examples of the types of problems that teammates in this role work on: designing and implementing a new image generation workflow and feature from start to end orchestrating and engineering context around AI models/LLMs to maximize performance (output quality, speed and reliability) optimizing database queries or frontend components to reduce generation time from X to Y rapidly shipping and iterating on new and core features scaling up our infrastructure to be able to handle high concurrency, high volume asynchronous jobs so it can handle a load of X in Y time influencing our current engineering practices and constantly improving them to increase dev speed, reduce bugs, improve code practices etc. You’ll work on features and applications that push the frontier of what’s possible today, setting the groundwork and solving problems from first principles to reshape how ecommerce brands work as an industry. To achieve that level of impact, we work intensely and move fast. Expect new features every few days. Expect hard work, long hours. Expect to build things that no one has done before. We thrive on speed and precision, coupled with a whole lot of new technology. Sound like you? We want engineers who can thrive in a startup; able to work in an extremely fast-paced environment, and can truly drive building features from scratch. We’re looking for engineers who: Own things end-to-end: we’re a startup. You aren’t here to just receive instructions. We want you to be a thinker and driver. Play a part in figuring out the features to build, the architecting of it, and driving it all the way to customer impact. Obsess over problems: if you love to dig deep into architecture and scaling issues, optimize queries, figuring out tricky bugs; if you obsess and have a constant curiosity to dig deep and learn, then we are your tribe. Are product minded: you think beyond just code. You understand the customer, problem statements, and are able to drive impact on a product-level. Bonus if you love interacting directly with users. Not all of the following are strict requirements, but experience and a strong foundation will help a long way: You've designed and built backend architectures (i.e. experience with AWS, designing APIs, components, database optimizations etc..), often needing to handle large amounts of data and concurrent or asynchronous jobs You're familiar with software engineering best practices (testing, logging/monitoring, deployments, event tracking etc..) and have worked with large codebases before Interest in AI (experience in AI and training AI models isn’t a requirement—you’ll learn a lot about that from our team here, but it is a bonus, and you need to have a strong interest and inclination for it) We're hiring across all experience levels — from fresh graduates to junior, senior, and lead software engineers. Note: this is an in-person role—only open to candidates in Singapore or those willing to relocate.",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-hypotenuse-technologies-e011d8bc79cc60419f21fec65bf39c38?source=MCF&event=SuggestedJob
Software Developer,AUGMENTUS PTE. LTD.,MCF-2026-0052939,"THE CHADWICK, 81 SCIENCE PARK DRIVE 118257",Full Time,Executive,No exp required,Information Technology,"$4,000to$6,500Monthly",40 applications,Posted 09 Jan 2026,Closing on 08 Feb 2026,Typically Replies in 30 Days,"What we do Augmentus is a leading provider of robotic programming solutions that simplify and streamline traditionally complex industrial automation processes. Our innovative solution integrates cutting-edge features like 3D scanning, automated path optimization, and seamless robot code generation to make programming accessible and efficient for manufacturers handling high-mix, high-part complexity operations. Trusted by global leaders in industries such as media blasting, painting, and welding, Augmentus empowers companies to achieve scalability, reliability, and superior operational efficiency. Join us to revolutionize the future of robotics and automation. What You Will Do Design, develop, and maintain software components across backend services and system-level modules Apply sound software architecture and system design principles to real-world problems Implement efficient algorithms and data structures with attention to performance and reliability Collaborate with product, robotics, and platform teams to translate requirements into technical solutions Debug, test, and improve existing systems to ensure robustness and scalability Contribute to technical discussions, design reviews, and code reviews Requirements Bachelor’s or Master’s degree in Computer Science, Engineering or a related field Strong fundamentals in computer science, including algorithms, data structures, and system design Working knowledge of at least one of the following languages: C#, C++, or Java Exposure to backend development; full-stack experience is a plus Ability to reason about software architecture, modularity, and maintainability A portfolio demonstrating your work (e.g. GitHub, personal website, or relevant projects) Good to Have Experience with web frameworks, APIs, or distributed systems Familiarity with databases, cloud services, or containerized environments Prior exposure to robotics, automation, or industrial software systems",https://www.mycareersfuture.gov.sg/job/information-technology/software-developer-augmentus-b30dc999c9804de9b743cbfa7c2eb2fd?source=MCF&event=RecommendedJobJD
Software Engineer,ASMPT SINGAPORE PTE. LTD.,MCF-2026-0051111,2 YISHUN AVENUE 7 768924,Full Time,Fresh/entry level,2 years exp,"Engineering, Manufacturing, Precision Engineering","$4,000to$6,000Monthly",39 applications,Posted 09 Jan 2026,Closing on 08 Feb 2026,Typically Replies in 30 Days,"Job Description: We are seeking a Software Engineer to develop and optimize software solutions for advanced packaging semiconductor equipment. This role involves designing, implementing, and testing high-performance software to enhance automation, control, and data processing for semiconductor manufacturing. You will collaborate with cross-functional teams to drive innovation and improve system performance. Key Responsibilities: Design, develop, and maintain software for semiconductor equipment, including motion control, data acquisition, and process automation. Work closely with hardware and mechanical engineers to integrate software with precision mechanical and electronic components. Develop real-time and embedded systems software for high-speed, high-precision equipment. Perform software testing, debugging, and optimization to ensure reliability and performance. Implement machine learning, computer vision, and AI algorithms to improve semiconductor manufacturing processes (if applicable). Ensure software compliance with industry standards, cybersecurity protocols, and data integrity requirements. Participate in continuous improvement initiatives, focusing on software scalability, maintainability, and performance optimization. Maintain technical documentation and provide training/support to internal teams. Adhere to safety, quality, and regulatory standards in accordance with Singapore’s workplace regulations. Job Requirements: Min. Degree or higher in Computer Science, Software Engineering, Electrical Engineering, or a related field from a recognized institution. Experience in software development, preferably in the semiconductor or manufacturing industry. Proficiency in C++ for embedded systems, automation, or UI/UX development. Understanding of data analytics, AI/ML, or computer vision for semiconductor applications is a plus. Strong problem-solving skills and ability to work in a fast-paced environment. What we offer At ASMPT, we are committed to providing a supportive and rewarding work environment for our employees. Some of the key benefits you can expect include: Competitive salary and performance-based bonuses Company Transport Flexible work arrangements Comprehensive health and wellness benefits Opportunities for professional development and career advancement Collaborative and innovative company culture",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-asmpt-singapore-43804abc6ece2a774900b72fa483b117?source=MCF&event=RecommendedJobJD
